"family","семья","familio"
"crossword","кроссворд","krucvortenigmo"
"draughts","шашки","damo"
"noughts and crosses","крестики-нолики","tiktakto"
"board game","настольная игра","tabulludo"
"playground","детская площадка","Ludejo"
"climbing frame","лесенка","Grimpokadro"
"paddling pool","надувной бассейн","plaŭdbaseno"
"roundabout","карусель","Karuselo"
"roller coaster","американские горки","rusaj montoj"
"skiing","лыжный спорт","skiado"
"skating","катание на коньках","Sketado"
"ice hockey","хоккей","glacihokeo"
"figure skating","фигурное катание","figursketado"
"rugby","регби","Rugbeo"
"baseball","бейсбол","Basbalo"
"handball","гандбол","Manpilko"
"cycling","велоспорт","biciklado"
"horse riding","верховая езда","rajdado"
"gymnastics","гимнастика","Gimnastiko"
"running","бег","kurado"
"lunge","выпад","elpaŝo"
"press-up","отжимание","brakapogo"
"aerobics","аэробика","aerobiko"
"ball","мяч","Pilko"
"helmet","шлем","kasko"
"whistle","свисток","Fajfilo"
"skateboard","роликовая доска","rultabulo"
"stadium","стадион","Stadiono"
"draw","ничья","Remizo"
"coach","тренер","Trejnisto"
"winner","победитель","venkinto"
"score","зарабатывать очки","poentigi"
"hotel","отель","Hotelo"
"motel","мотель","Motelo"
"guest","гость","Gasto"
"reception","рецепция","akceptejo"
"café","кафе","Kafejo"
"buffet","буфет","bufedo"
"pizzeria","пиццерия","Picejo"
"tray","поднос","Pleto"
"serve","подавать","servi"
"circus","цирк","Cirko"
"fountain","фонтан","Fontano"
"gallery","галерея","galerio"
"statue","статуя","Statuo"
"fortress","крепость","Fortikaĵo"
"building","здание","konstruaĵo"
"brick","кирпич","briko"
"wood","древесина","ligno"
"column","колонна","Kolono"
"skyscraper","небоскрёб","nubskrapulo"
"build","строить","konstrui"
"city centre","центр города","urbocentro"
"alley","переулок","strateto"
"pavement","тротуар","Trotuaro"
"passageway","проход","Pasejo"
"street light","уличный фонарь","stratlanterno"
"republic","республика","Respubliko"
"district","округ","distrikto"
"town","городок","urbeto"
"countryside","сельская местность","kamparo"
"moped","мопед","mopedo"
"taxi","такси","taksio"
"cabriolet","кабриолет","kabrioleto"
"van","фургон","Furgono"
"minibus","микроавтобус","Minibuso"
"lorry","грузовик","kamiono"
"tram","трамвай","Tramo"
"railway","железная дорога","fervojo"
"locomotive","локомотив","lokomotivo"
"restaurant car","вагон-ресторан","manĝovagono"
"flight","полёт","flugo"
"airline","авиакомпания","Aviokompanio"
"take off","взлетать","Ekflugi"
"land","приземляться","alteriĝi"
"canoe","байдарка","kajako"
"yacht","яхта","Jaĥto"
"sail","парус","Velo"
"ferry","паром","pramo"
"submarine","подводная лодка","submarŝipo"
"lighthouse","маяк","lumturo"
"road","дорога","vojo"
"station","остановка","Haltejo"
"junction","перекрёсток","kruciĝo"
"traffic","дорожное движение","Trafiko"
"pedestrian crossing","пешеходный переход","piedirantransirejo"
"wheel","колесо","rado"
"tyre","шина","pneŭmatiko"
"pedal","педаль","Pedalo"
"motor","двигатель","Motoro"
"petrol","бензин","benzino"
"channel","канал","Kanalo"
"series","сериал","serio"
"video","видео","video"
"advertisement","реклама","Reklamo"
"file","файл","Dosiero"
"image","изображение","bildo"
"programme","программа","programo"
"memory stick","флэшка","memorbastoneto"
"robot","робот","Roboto"
"chat","чат","ĉato"
"smiley","смайлик","ridetulo"
"online","в сети","enrete"
"offline","не в сети","eksterreta"
"download","скачивать","elŝuti"
"press","пресса","gazetaro"
"article","статья","artikolo"
"information","информация","informo"
"interview","брать интервью","Intervjui"
"post","почта","Poŝto"
"letter","письмо","Letero"
"envelope","конверт","Koverto"
"address","адрес","adreso"
"postman","почтальон","Poŝtisto"
"danger","опасность","danĝero"
"help","подмога","helpo"
"fire","пожар","Incendio"
"accident","авария","avario"
"ambulance","скорая помощь","Ambulanco"
"law","закон","leĝo"
"court","суд","tribunalo"
"prison","тюрьма","malliberejo"
"punish","наказать","puni"
"hamster","хомяк","Hamstro"
"rabbit","кролик","kuniklo"
"goat","козёл","Kapro"
"sheep","овца","Ŝafo"
"donkey","осёл","azeno"
"pony","пони","Poneo"
"bird","птица","birdo"
"turkey","индюк","meleagro"
"parrot","попугай","Papago"
"canary","канарейка","kanario"
"animal","животное","Besto"
"rat","крыса","rato"
"squirrel","белка","Sciuro"
"monkey","обезьяна","Simio"
"deer","олень","Cervo"
"tiger","тигр","Tigro"
"pigeon","голубь","Kolombo"
"swallow","ласточка","Hirundo"
"quail","перепёлка","Koturno"
"cuckoo","кукушка","Kukolo"
"stork","аист","Cikonio"
"shark","акула","ŝarko"
"sturgeon","осётр","sturgo"
"goldfish","золотая рыбка","Orfiŝo"
"sea horse","морской конёк","hipokampo"
"lizard","ящерица","lacerto"
"cobra","кобра","Kobro"
"alligator","аллигатор","aligatoro"
"iguana","игуана","Igvano"
"dinosaur","динозавр","Dinosaŭro"
"snail","улитка","heliko"
"starfish","морская звезда","Marstelo"
"jellyfish","медуза","Meduzo"
"octopus","осьминог","polpo"
"insect","насекомое","Insekto"
"butterfly","бабочка","papilio"
"ladybird","божья коровка","kokcinelo"
"wasp","оса","vespo"
"scorpion","скорпион","Skorpio"
"kid","козлёнок","Kaprido"
"lamb","ягнёнок","Ŝafido"
"calf","телёнок","Bovido"
"foal","жеребёнок","Ĉevalido"
"beak","клюв","Beko"
"tail","хвост","vosto"
"wing","крыло","flugilo"
"hoof","копыто","Hufo"
"zoo","зоопарк","Zoo"
"nest","гнездо","nesto"
"pen","загон","ĉirkaŭbarilo"
"pigsty","свинарник","Porkejo"
"meow","мяукать","miaŭi"
"purr","мурчать","ronroni"
"bark","лаять","boji"
"quack","крякать","kvaki"
"fir","ель","Abio"
"poplar","тополь","Poplo"
"willow","ива","saliko"
"branch","ветка","branĉo"
"log","бревно","Ŝtipo"
"acorn","жёлудь","glano"
"pear tree","грушевое дерево","Pirujo"
"orange tree","апельсиновое дерево","Oranĝujo"
"plum tree","сливовое дерево","Prunujo"
"cherry tree","черешня","ĉerizarbo"
"cacao tree","шоколадное дерево","kakaŭarbo"
"shrub","куст","arbusto"
"strawberry","клубничный куст","Fragujo"
"raspberry","малиновый куст","Frambujo"
"blackberry","куст ежевики","rubusujo"
"lilac","сирень","Siringo"
"lily","лилия","lilio"
"iris","ирис","iriso"
"orchid","орхидея","Orkideo"
"dandelion","одуванчик","leontodo"
"poppy","мак","Papavo"
"plant","растение","Planto"
"grass","трава","Herbo"
"cactus","кактус","Kakto"
"bamboo","бамбук","Bambuo"
"moss","мох","Musko"
"petal","лепесток","Petalo"
"stem","стебель","Tigo"
"root","корень","radiko"
"thorn","шип","Dorno"
"trunk","ствол","Trunko"
"hay","сено","Fojno"
"soil","почва","grundo"
"field","поле","kampo"
"scythe","коса","Falĉilo"
"harvest","урожай","rikolto"
"gather","собирать","kolekti"
"weather","погода","vetero"
"rain","дождь","pluvo"
"snow","снег","neĝo"
"wind","ветер","vento"
"breeze","бриз","Brizo"
"cloud","облако","Nubo"
"frost","мороз","Frosto"
"dew","роса","Roso"
"hail","град","Hajlo"
"hurricane","ураган","Uragano"
"snowstorm","метель","Neĝoŝtormo"
"eruption","извержение","Erupcio"
"land","суша","tero"
"valley","долина","valo"
"meadow","луг","Herbejo"
"seashore","морское побережье","Marbordo"
"volcano","вулкан","Vulkano"
"bay","залив","Golfo"
"pond","пруд","Lageto"
"flow","течение","fluo"
"waterfall","водопад","Akvofalo"
"rock","камень","Ŝtono"
"gem","драгоценный камень","gemo"
"diamond","алмаз","Diamanto"
"ruby","рубин","Rubeno"
"metal","металл","metalo"
"iron","железо","Fero"
"mineral","минерал","Mineralo"
"glass","стекло","Vitro"
"coal","уголь","Karbo"
"eleven","одиннадцать","dek unu"
"twelve","двенадцать","dek du"
"thirteen","тринадцать","dek tri"
"fourteen","четырнадцать","dek kvar"
"fifteen","пятнадцать","dek kvin"
"sixteen","шестнадцать","dek ses"
"seventeen","семнадцать","dek sep"
"eighteen","восемнадцать","dek ok"
"nineteen","девятнадцать","dek naŭ"
"twenty","двадцать","dudek"
"colour","цвет","koloro"
"pink","розовый","roza"
"green","зелёный","verda"
"orange","оранжевый","Oranĝa"
"brown","коричневый","bruna"
"grey","серый","griza"
"week","неделя","semajno"
"Monday","понедельник","Lundo"
"Tuesday","вторник","Mardo"
"Wednesday","среда","Merkredo"
"Thursday","четверг","Ĵaŭdo"
"Friday","пятница","vendredo"
"Saturday","суббота","Sabato"
"Sunday","воскресенье","Dimanĉo"
"date","число","Dato"
"morning","утро","mateno"
"afternoon","день","Posttagmezo"
"evening","вечер","vespero"
"night","ночь","nokto"
"moment","момент","momento"
"thick","толстый","dika"
"thin","тонкий","Maldika"
"wide","широкий","larĝa"
"narrow","узкий","mallarĝa"
"triangle","треугольник","Triangulo"
"rectangle","прямоугольник","Rektangulo"
"gram","грамм","gramo"
"kilogram","килограмм","kilogramo"
"metre","метр","Metro"
"kilometre","километр","kilometro"
"beauty","красота","Beleco"
"success","успех","Sukceso"
"answer","ответ","respondo"
"example","пример","ekzemplo"
"progress","прогресс","Progreso"
"run","бежать","kuri"
"swim","плавать","naĝi"
"dance","танцевать","Danci"
"pull","тянуть","tiri"
"push","толкать","puŝi"
"show","показывать","montri"
"let","позволять","lasi"
"select","отбирать","elekti"
"control","контролировать","kontroli"
"decide","решать","decidi"
"thank","благодарить","danki"
"lie","лгать","Mensogi"
"pronounce","произносить","prononci"
"translate","переводить","traduki"
"question","опрашивать","pridemandi"
"answer","отвечать","respondi"
"search","искать","serĉi"
"find","находить","trovi"
"compare","сравнивать","kompari"
"develop","развиваться","disvolviĝi"
"agree","соглашаться","konsenti"
"offer","предлагать","proponi"
"apologise","извиняться","pardonpeti"
"forgive","прощать","Pardoni"
"fast","быстрый","Rapida"
"slow","медленный","malrapida"
"hard","твёрдый","Malmola"
"soft","мягкий","mola"
"cheap","дешёвый","malkara"
"expensive","дорогой","kara"
"ideal","идеальный","Ideala"
"rich","богатая","riĉa"
"famous","знаменитая","fama"
"strong","сильный","Forta"
"weak","слабый","malforta"
